category,recipe_name,recipe_url,description,ingredients,directions,serving,nutrition
Breakfast,Cauliflower No-Crust Quiche Recipe,https://www.eatright.org/recipes/breakfast/cauliflower-no-crust-quiche-recipe,"['Quiche can be loaded with saturated fat from eggs, milk and cheese, not to mention the crust. But this quiche does away with the crust while maintaining the flavor.']","['2 teaspoons olive oil ½ cup chopped onions 5 large eggs ½ cup low-fat milk, rice milk or soy milk ½ teaspoon salt 1½ cups chopped cauliflower ½ cup shredded low-fat cheddar cheese 1 teaspoon paprika']","Preheat oven to 375°F. Lightly oil an 8-by-8-inch casserole dish or 9-inch pie pan with olive oil or butter. Spread onions evenly in the dish and place in the oven while you prepare the other ingredients.,In a small bowl, beat eggs, salt and milk with a whisk.,Remove dish from oven with mitts and spread cauliflower and cheese evenly. Pour egg mixture over cauliflower, onions and cheese. Sprinkle with paprika.,Bake for 30 minutes, until cauliflower is cooked and casserole is golden brown.,Quiche can be refrigerated in a sealed container for 2 to 3 days.,Broccoli can be used as a substitute for cauliflower.",['Serving size: 1 slice Serves 4'],['Calories: 203; Total Fat: 14g; Saturated Fat: 6g; Cholesterol: 282mg; Sodium: 492mg; Total Carbohydrate: 7g; Dietary Fiber: 1g; Sugars: 4g; Protein: 13g']
Breakfast,Banana Fritters Recipe,https://www.eatright.org/recipes/breakfast/banana-fritters-recipe,"Baked banana fritters with a dollop of yogurt and sprinkle of nuts are a naturally sweet breakfast.,Prep Time: 10 minutesCooking Time: 30 minutes","Fritters 3 large ripe bananas 1 large egg ¼ cup plus 2 tablespoons all-purpose flour ¼ teaspoon cinnamon ¼ teaspoon (1 milliliter) vanilla extract 2 tablespoons (30 milliliters) vegetable oil,Toppings ¼ cup plus 1 tablespoon vanilla nonfat Greek yogurt Pinch ground cinnamon ¼ cup plus 1 tablespoon chopped walnuts","Preheat oven to 400°F (204°C).,In a large bowl, mash bananas with a fork. Add egg, flour, cinnamon and vanilla. Stir with a fork until combined.,Using a tablespoon, scoop banana mixture onto a baking sheet lined with parchment paper. Brush top of fritters with oil. Bake 14 minutes.,Flip each fritter with a spatula, brush with oil and bake an additional 14 minutes.,Remove fritters from oven and place on a paper towel-lined plate.,Garnish each serving of 3 fritters with 1 tablespoon yogurt, a sprinkle of cinnamon and 1 tablespoon walnuts.","['Serving Size: 3 fritters, 1 tablespoon yogurt and 1 tablespoon walnuts (80 grams) Serves 5']","['254 calories, 12g total fat, 1g saturated fat, 34mg cholesterol, 19mg sodium, 35g carbohydrate, 4g fiber, 15g sugar, 6g protein, 460mg potassium, 95mg phosphorus']"
Breakfast,Cranberry-Almond Breakfast Cereal Recipe,https://www.eatright.org/recipes/breakfast/cranberry-almond-breakfast-cereal-recipe,"Muesli, an unsweetened breakfast cereal of rolled oats, nuts and fruit, got its start more than 100 years ago in Switzerland. It was promoted for its health benefits and, to date, remains popular in Europe. Today, you can buy packaged muesli, or you can make your own with ingredients you like best — perhaps oats (which are a whole grain), ground flaxseed (delivering omega-3s), and a combination of dried fruit, nuts and seeds, which provide vitamin C and protein, respectively. Tip: Mix a batch of homemade muesli to keep on hand in an airtight container for several weeks.,For a quick morning meal, top muesli with low-fat, calcium-rich yogurt and fresh fruit, such as chopped apples, sliced bananas or berries. Muesli also can be eaten hot or soaked overnight in the refrigerator.","['2 cups old-fashioned rolled oats ½ cup wheat bran or rye flakes ½ cup slivered almonds or any chopped nuts (such as hazelnuts, pecans or walnuts) ¼ cup unroasted, unsalted pumpkin or sunflower seeds* ½ cup flaked coconut ½ cup dried cranberries, cherries, currants or raisins ½ cup diced dried apricots, apples, dates or figs 2 tablespoons ground flaxseeds (optional) ¼ cup honey 1 teaspoon vanilla extract ½ teaspoon cinnamon ½ teaspoon dried ginger Pinch of salt']","Preheat oven to 350°F.,Spread oats and wheat bran on a large baking sheet. Toast for 10 minutes, stirring occasionally to avoid burning.,Add almonds, pumpkin seeds and coconut to oat mixture. Stir, spreading on the baking sheet. Toast for an additional 7 to 10 minutes, stirring occasionally, until slightly browned. Remove from oven and allow to cool.,Transfer the oat mixture to a large bowl. Add cranberries and apricots and, if desired, flaxseed; mix.,Heat honey in a microwave-safe bowl for about 15 seconds. Add vanilla, cinnamon and ginger to honey and blend. Pour over oat mixture and toss to coat.",['Serving size: About ¾ cup Serves 6'],['Calories: 350; Calories from fat: 110; Total fat: 12g; Saturated fat: 2.5g; Trans fat: 0g; Cholesterol: 0mg; Sodium 55mg; Total carbohydrate: 54g; Dietary fiber: 8g; Sugars: 25g; Protein: 10g']
Breakfast,Chocolate Chip Banana Pancakes Recipe,https://www.eatright.org/recipes/breakfast/chocolate-chip-banana-pancakes-recipe,"['Pancakes are an all-American breakfast treat, and this version pairs chocolate chips and fresh bananas for extra goodness. In Michigan, where wild berries grow,\xa0people love to use blueberry syrup.\xa0 You can also try them with wild blueberry sauce.']","['¾ cup all-purpose flour 2 tablespoons sugar ½ cup toasted wheat germ 1 teaspoon baking powder ½ teaspoon baking soda 2 eggs, lightly beaten 1 cup reduced-fat buttermilk 1 banana, mashed ¼ cup semisweet or milk chocolate chips Vegetable oil cooking spray']","Combine the flour, sugar, wheat germ, baking powder and baking soda in a large bowl. Set aside.,In a separate medium-sized bowl, whisk together eggs, buttermilk and banana.,Pour the wet ingredients over the flour mixture and stir just until mixed. Stir in the chocolate chips.,Spray a skillet with cooking spray and heat over medium-high heat. Sprinkle a few droplets of water on the surface; the skillet is preheated when water sizzles.,Using a ¼-cup measure, spoon batter onto the hot skillet . When bubbles appear in the center of the pancake, flip it to the other side. Cook both sides to golden brown.",['Serving size: 3 small pancakes Serves 4'],['Calories: 290; Total fat: 8g; Saturated fat 3g; Cholesterol: 80mg; Sodium: 150mg; Total carbohydrate: 48g; Dietary fiber: 4g; Protein: 12g']
Breakfast,Easy Migas Recipe,https://www.eatright.org/recipes/breakfast/easy-migas-recipe,"Start the day with a traditional Tex-Mex dish calledmigas. This version is quick and easy to
make, even on busy mornings!,Watch how this recipe is made.","['5 large eggs ½ teaspoon salt 1 tablespoon olive oil 2 green onions, sliced 2 cups (about 3 ounces) coarsely broken no-salt-added tortilla chips ½ cup mild salsa ½ cup low-fat shredded cheddar cheese Garnish: 2 tablespoons chopped cilantro and extra shredded cheese']","In a bowl, combine eggs
    and salt; stir with a whisk and set aside.,Heat olive oil in a large
    skillet over medium-high heat. Add green onions and cook for 2 minutes or
    until they begin to soften.,Add egg mixture to skillet
    and cook for 1 minute without stirring, until the edges of the eggs are
    set.,Stir in tortilla chips and
    salsa; cook for 2 minutes or until tortilla chips begin to soften. At this
    point, the eggs' texture will resemble traditional scrambled eggs.,Remove from heat and add
    cheese; stir until combined and cheese begins to melt. Sprinkle with
    cilantro and extra cheese, if desired.,Reduce the sodium content of the dish by leaving out the added salt.",['Serving Size: 1 cup Serves 4'],['Calories: 262; Total fat: 15g; Sat. fat: 3.5g; Chol.: 235mg; Sodium: 696mg; Carb.: 17g; Fiber 2g; Sugars: 2g; Protein 14g; Potassium: 253mg; Phosphorus: 248mg']
Breakfast,Irish Soda Muffins Recipe,https://www.eatright.org/recipes/breakfast/irish-soda-muffins-recipe,"['Raisins and whole-wheat flour make these muffins heartier, as well as higher in fiber and minerals. Baking muffins instead of a loaf helps with portion control.']",[''],,['Serving size: 1 muffin Serves 12'],[]
Breakfast,Southwestern-style Breakfast Casserole Recipe,https://www.eatright.org/recipes/breakfast/southwestern-style-breakfast-casserole-recipe,"Serve this colorful, Southwestern-inspired, delicious casserole for breakfast — and enjoy the leftovers cold the next day. It's full of healthy touches, including whole-grain bread, spinach and red peppers!,Prep time: 20 minutes plus 4 hours+,Cooking time: 45 minutes","['Nonstick cooking spray 6 slices hearty whole-grain bread, cut into cubes 1 (10-ounce) package frozen chopped spinach, thawed and liquid squeezed out 1 (7-ounce) jar roasted red peppers, drained and chopped, or 1 red bell pepper, roasted and chopped 1½ cups (6 ounces) shredded Mexican blend cheese or sharp cheddar cheese 3 cups nonfat milk 1 carton (8 ounces) egg substitute 1 teaspoon garlic powder 1 teaspoon cumin ½ teaspoon black pepper ½ teaspoon salt']","Layer the bread in a 9-by-13-inch baking dish coated with the nonstick cooking spray. Sprinkle evenly with spinach, red peppers and cheese.,Combine nonfat milk, egg substitute, garlic powder, cumin, black pepper and salt in a large bowl. Pour over the bread mixture.,Cover and refrigerate at least 4 hours or overnight.,Preheat oven to 350ºF.,Bake, uncovered, for 45 minutes or until a knife inserted into the center comes out clean. Let stand for 10 minutes before serving.",['Serving size: ¹⁄₉\xa0of casserole Serves 9\xa0for breakfast or 12 as a side dish'],['Calories 280; Total Fat: 13g; Saturated Fat: 7g; Cholesterol: 30mg; Sodium: 810mg; Total Carbohydrate: 23g; Dietary Fiber: 4g; Protein: 21g.']
Breakfast,Breakfast Bulgur with Fruit and Nuts Recipe,https://www.eatright.org/recipes/breakfast/breakfast-bulgur-with-fruit-and-nuts-recipe,"['Have your family start the day with a breakfast of cooked bulgur. With nuts and fruit, this recipe makes a satisfying and nutritious meal. Vary the fruit depending on what is in season. For a great nutty flavor, toast the bulgur before simmering.']","[""1 cup uncooked bulgur ½ teaspoon salt ¼ teaspoon ground cinnamon ⅓ cup chopped, dried apricots ⅓ cup dried cranberries 2 ripe nectarines, each cut into 10 wedges 1 cup fresh blueberries ¼ cup pecans, chopped 8 teaspoons brown sugar 1 cup calcium fortified vanilla soy milk or low-fat cow's milk, optional""]","Heat a heavy bottomed non-stick medium skillet (9½-inch) on medium heat.,Rinse the bulgur in a strainer. Put the bulgur in the dry, heated skillet, stirring occasionally while the bulgur is wet. As the bulgur dries, stir often, and toast until dry, lightly browned and fragrant.,Pour in 3 cups water and add the salt, cinnamon, apricots and cranberries.,Bring the mixture to a boil, then turn the heat down to medium-low, cover and let simmer for 20 minutes or until the water is absorbed.,Remove from the heat and pour into 4 bowls.,Arrange 5 nectarine slices on top of each bowl of bulgur, spoke-fashion. Sprinkle ¼ cup blueberries between the nectarines.,Put 1 tablespoon of chopped pecans in the center. Sprinkle 2 teaspoons of brown sugar over the top. If desired, pour ¼ cup of milk over the top.",['Serving size: 1 bowl Serves 4'],['Calories: 320; Total Fat: 6g; Saturated Fat: 0.5g; Cholesterol: 0mg; Sodium: 300mg; Total Carbohydrate: 64g; Dietary Fiber: 11g; Protein 6g.']
Breakfast,Pear-Berry Breakfast Crisp Recipe,https://www.eatright.org/recipes/breakfast/pear-berry-breakfast-crisp-recipe,"['Oatmeal, which grows well in cool, wet growing regions, is a staple grain in Scottish culinary tradition. Common in a variety of Scottish dishes, as well as American baked goods, oats deliver whole-grain goodness. This cool climate also produces a wide variety of berries, including bilberries, a cousin to the American blueberry. The blueberries in this breakfast crisp deliver antioxidants, as well as dietary fiber and vitamin C.']","Topping,1½ cups rolled oats ¼ cup whole-wheat flour ⅛ teaspoon salt ¼ cup honey ¼ cup margarine, melted ¼ cup chopped hazelnuts ¼ cup vanilla low-fat Greek yogurt,Pear-Berry Filling,3 ripe pears (about 18 ounces), cored, cut in ½-inch slices 2 cups fresh or frozen blueberries or another berry of your choice 1 tablespoon cornstarch 1 teaspoon ground cinnamon ¼ teaspoon ground cloves ¼ teaspoon salt 2 tablespoons honey 2 teaspoons vanilla extract","Preheat oven to 350ºF (176ºC).,To prepare the topping, combine the oats, flour and salt in a medium bowl. Stir well to combine; set aside. Stir together honey and margarine in a small bowl. Add the honey mixture to the oat mixture; toss gently to coat the ingredients. Stir in hazelnuts. Set aside.,To prepare the filling, combine pears, blueberries, cornstarch, cinnamon, cloves and salt in a medium bowl. Stir together honey and vanilla extract in a separate small bowl; gently toss with the pear-berry mixture.,Pour the pear-berry mixture into an 8-by-8-inch baking dish. Spread the oat topping over the fruit. Bake for about 30 to 40 minutes, until the top is golden brown.,Serve warm or cold, topped with Greek yogurt.,Substitute sliced apples in place of pears.,Serve with vanilla frozen yogurt or ice cream for dessert.",['Serves 6'],['Calories: 330; Calories from fat: 110; Total fat: 12g; Saturated fat: 1.5; Trans fat: 0g; Cholesterol: 0mg; Sodium: 220mg; Total carbohydrate: 52g; Dietary fiber: 7g; Sugars: 26g; Protein: 6g']
Breakfast,Oat-Banana Breakfast Cookies Recipe,https://www.eatright.org/recipes/breakfast/oat-banana-breakfast-cookies,"[""What kid doesn't want cookies for breakfast? These cookies combine oats and fruit to result in a great portable kick start for the day.""]","['3 bananas, peeled ¼ cup coconut oil,\xa0melted 1 tablespoon maple syrup 1 teaspoon vanilla extract 1½ cups rolled oats (gluten-free, if needed) 1 tablespoon golden flaxmeal ½ teaspoon salt ¼ cup mini chocolate chips']","Preheat oven to 350°F (176°C).,Place bananas in a medium bowl and mash well. Add remaining ingredients to mashed banana and stir.,Line a baking sheet with parchment paper. Press 2 tablespoons of mixture into a 2½-inch cookie cutter. Remove cutter to create a round shape. Repeat with remaining mixture.,Bake for 22 to 25 minutes or until cookies are golden and set. Allow to cool before serving.",['Serving size: 1 cookie Serves 14'],"['Calories: 112, Total Fat: 6g; Saturated Fat: 4g; Cholesterol: 0g; Sodium: 84mg; Total Carbohydrate: 15g; Dietary Fiber: 2g; Protein: 2g; Potassium 147mg; Phosphorus 59mg.']"
